estacao,uf,ano,mes,latitude,longitude,chuva_total_mm,chuva_max_dia_mm,dias_com_chuva
ABROLHOS,BA,2008,7,-17.96417,-38.69611,3.8,3.8,1
ABROLHOS,BA,2008,8,-17.96417,-38.69611,23.8,11.2,4
ABROLHOS,BA,2008,9,-17.96417,-38.69611,25.4,12.2,5
ABROLHOS,BA,2008,10,-17.96417,-38.69611,16.0,6.6,4
ABROLHOS,BA,2008,11,-17.96417,-38.69611,294.0,110.2,13
ABROLHOS,BA,2008,12,-17.96417,-38.69611,130.2,82.4,7
ABROLHOS,BA,2009,1,-17.96417,-38.69611,65.0,18.0,10
ABROLHOS,BA,2009,7,-17.96417,-38.69611,47.4,16.8,5
ABROLHOS,BA,2009,8,-17.96417,-38.69611,36.4,8.6,10
ABROLHOS,BA,2009,9,-17.96417,-38.69611,61.2,52.2,4
ABROLHOS,BA,2009,10,-17.96417,-38.69611,188.6,73.6,9
ABROLHOS,BA,2009,11,-17.96417,-38.69611,40.6,17.6,6
ABROLHOS,BA,2009,12,-17.96417,-38.69611,11.2,10.4,1
ABROLHOS,BA,2010,1,-17.96417,-38.69611,32.6,8.4,7
ABROLHOS,BA,2010,2,-17.96417,-38.69611,27.6,9.6,5
ABROLHOS,BA,2010,11,-17.96417,-38.69611,393.4,80.0,14
ABROLHOS,BA,2010,12,-17.96417,-38.69611,12.2,7.8,3
ABROLHOS,BA,2011,1,-17.96417,-38.69611,17.6,7.0,5
ABROLHOS,BA,2011,2,-17.96417,-38.69611,17.4,3.8,6
ABROLHOS,BA,2011,3,-17.96417,-38.69611,83.2,25.4,11
ABROLHOS,BA,2011,4,-17.96417,-38.69611,153.2,37.2,14
ABROLHOS,BA,2011,5,-17.96417,-38.69611,54.0,20.4,8
ABROLHOS,BA,2011,6,-17.96417,-38.69611,42.8,36.0,3
ABROLHOS,BA,2011,7,-17.96417,-38.69611,14.8,7.0,4
ABROLHOS,BA,2011,8,-17.96417,-38.69611,5.4,1.8,2
ABROLHOS,BA,2011,11,-17.96417,-38.69611,156.4,51.8,10
ABROLHOS,BA,2011,12,-17.96417,-38.69611,42.4,22.0,6
ABROLHOS,BA,2012,1,-17.96417,-38.69611,21.0,9.8,5
ABROLHOS,BA,2012,2,-17.96417,-38.69611,20.4,15.4,3
ABROLHOS,BA,2012,3,-17.96417,-38.69611,25.0,11.8,4
ABROLHOS,BA,2012,4,-17.96417,-38.69611,60.2,41.6,5
ABROLHOS,BA,2012,5,-17.96417,-38.69611,92.4,25.4,10
ABROLHOS,BA,2012,10,-17.96417,-38.69611,101.4,68.0,5
ABROLHOS,BA,2012,11,-17.96417,-38.69611,258.8,175.0,11
ABROLHOS,BA,2012,12,-17.96417,-38.69611,3.6,2.2,2
ABROLHOS,BA,2013,1,-17.96417,-38.69611,44.8,32.2,6
ABROLHOS,BA,2013,2,-17.96417,-38.69611,31.2,19.0,5
ABROLHOS,BA,2013,3,-17.96417,-38.69611,36.8,22.6,5
ABROLHOS,BA,2013,4,-17.96417,-38.69611,122.4,46.6,10
ABROLHOS,BA,2013,5,-17.96417,-38.69611,55.4,20.6,6
ABROLHOS,BA,2013,6,-17.96417,-38.69611,97.6,61.8,7
ABROLHOS,BA,2013,10,-17.96417,-38.69611,140.0,89.0,11
ABROLHOS,BA,2013,11,-17.96417,-38.69611,67.0,16.4,11
ABROLHOS,BA,2013,12,-17.96417,-38.69611,165.2,37.6,12
ABROLHOS,BA,2014,1,-17.96417,-38.69611,48.4,13.4,7
ABROLHOS,BA,2014,2,-17.96417,-38.69611,85.0,21.2,13
ABROLHOS,BA,2014,3,-17.96417,-38.69611,16.0,5.2,4
ABROLHOS,BA,2014,7,-17.96417,-38.69611,27.4,11.6,6
ABROLHOS,BA,2014,8,-17.96417,-38.69611,15.6,5.0,6
ABROLHOS,BA,2014,9,-17.96417,-38.69611,11.2,8.8,2
ABROLHOS,BA,2014,12,-17.96417,-38.69611,63.8,30.0,7
ABROLHOS,BA,2015,1,-17.96417,-38.69611,12.6,5.4,4
ABROLHOS,BA,2015,2,-17.96417,-38.69611,118.0,53.6,8
ABROLHOS,BA,2015,3,-17.96417,-38.69611,68.4,30.6,9
ABROLHOS,BA,2015,4,-17.96417,-38.69611,33.4,11.2,5
ABROLHOS,BA,2015,5,-17.96417,-38.69611,29.6,8.4,7
ABROLHOS,BA,2015,6,-17.96417,-38.69611,113.4,45.8,8
ABROLHOS,BA,2015,7,-17.96417,-38.69611,63.0,34.4,12
ABROLHOS,BA,2015,8,-17.96417,-38.69611,15.2,3.0,6
ABROLHOS,BA,2015,9,-17.96417,-38.69611,0.6,0.2,0
ABROLHOS,BA,2015,10,-17.96417,-38.69611,38.0,19.8,4
ABROLHOS,BA,2015,11,-17.96417,-38.69611,6.0,2.4,2
ABROLHOS,BA,2015,12,-17.96417,-38.69611,35.6,11.6,6
ABROLHOS,BA,2016,1,-17.96417,-38.69611,170.2,62.2,12
ABROLHOS,BA,2016,2,-17.96417,-38.69611,2.6,2.6,1
ABROLHOS,BA,2016,3,-17.96417,-38.69611,23.0,4.4,10
ABROLHOS,BA,2016,4,-17.96417,-38.69611,49.8,32.0,5
ABROLHOS,BA,2016,5,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2016,6,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2016,7,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2016,10,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2016,11,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2016,12,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2017,1,-17.96417,-38.69611,0.0,0.0,0
ABROLHOS,BA,2018,8,-17.96417,-38.69611,22.4,12.0,4
ABROLHOS,BA,2018,9,-17.96417,-38.69611,40.8,27.4,4
ABROLHOS,BA,2018,10,-17.96417,-38.69611,66.2,29.0,6
ABROLHOS,BA,2018,11,-17.96417,-38.69611,75.8,28.0,8
ABROLHOS,BA,2018,12,-17.96417,-38.69611,167.8,68.4,9
ABROLHOS,BA,2019,1,-17.96302,-38.70329,10.2,5.0,2
ABROLHOS,BA,2019,2,-17.96302,-38.70329,39.2,36.4,2
ABROLHOS,BA,2019,3,-17.96302,-38.70329,139.8,68.4,8
ABROLHOS,BA,2019,4,-17.96302,-38.70329,38.2,15.6,7
ABROLHOS,BA,2019,5,-17.96302,-38.70329,118.8,57.8,10
ABROLHOS,BA,2019,6,-17.96302,-38.70329,77.0,27.0,10
ABROLHOS,BA,2019,7,-17.96302,-38.70329,28.6,8.4,5
ABROLHOS,BA,2019,8,-17.96302,-38.70329,44.8,10.8,8
ABROLHOS,BA,2019,9,-17.96302,-38.70329,84.8,69.8,6
ABROLHOS,BA,2019,10,-17.96302,-38.70329,85.2,38.0,8
ABROLHOS,BA,2019,11,-17.96302,-38.70329,50.0,43.2,4
ABROLHOS,BA,2020,1,-17.96302,-38.70329,163.6,76.4,6
ABROLHOS,BA,2020,2,-17.96302,-38.70329,10.0,3.6,3
ABROLHOS,BA,2020,3,-17.96302,-38.70329,97.8,20.8,17
ABROLHOS,BA,2020,4,-17.96302,-38.70329,91.8,28.0,9
ABROLHOS,BA,2020,5,-17.96302,-38.70329,28.6,8.8,6
ABROLHOS,BA,2020,6,-17.96302,-38.70329,24.8,12.4,6
ABROLHOS,BA,2020,7,-17.96302,-38.70329,31.6,9.4,8
ABROLHOS,BA,2020,8,-17.96302,-38.70329,50.2,8.6,13
ABROLHOS,BA,2020,9,-17.96302,-38.70329,10.6,4.4,3
ABROLHOS,BA,2020,10,-17.96302,-38.70329,77.6,21.2,7
ACARAU,CE,2009,4,-3.12083,-40.08694,83.2,30.6,7
ACARAU,CE,2009,5,-3.12083,-40.08694,190.2,34.4,20
ACARAU,CE,2009,6,-3.12083,-40.08694,183.6,56.0,14
ACARAU,CE,2009,7,-3.12083,-40.08694,40.8,13.2,7
ACARAU,CE,2009,8,-3.12083,-40.08694,5.2,2.4,2
ACARAU,CE,2009,9,-3.12083,-40.08694,0.6,0.6,0
ACARAU,CE,2009,10,-3.12083,-40.08694,0.0,0.0,0
ACARAU,CE,2009,11,-3.12083,-40.08694,2.2,1.6,1
ACARAU,CE,2009,12,-3.12083,-40.08694,1.6,0.6,0
ACARAU,CE,2010,1,-3.12083,-40.08694,42.0,33.6,5
ACARAU,CE,2010,2,-3.12083,-40.08694,8.4,3.4,3
ACARAU,CE,2010,3,-3.12083,-40.08694,152.0,50.4,11
ACARAU,CE,2010,4,-3.12083,-40.08694,162.8,31.0,17
ACARAU,CE,2010,5,-3.12083,-40.08694,85.2,33.4,6
ACARAU,CE,2010,6,-3.12083,-40.08694,4.2,2.0,2
ACARAU,CE,2010,7,-3.12083,-40.08694,1.4,1.4,1
ACARAU,CE,2010,8,-3.12083,-40.08694,0.4,0.4,0
ACARAU,CE,2010,9,-3.12083,-40.08694,0.0,0.0,0
ACARAU,CE,2010,10,-3.12083,-40.08694,0.2,0.2,0
ACARAU,CE,2010,11,-3.12083,-40.08694,15.4,3.6,5
ACARAU,CE,2010,12,-3.12083,-40.08694,32.4,8.0,11
ACARAU,CE,2011,1,-3.12083,-40.08694,242.6,44.2,20
ACARAU,CE,2011,2,-3.12083,-40.08694,256.6,29.6,20
ACARAU,CE,2011,3,-3.12083,-40.08694,251.4,24.8,25
ACARAU,CE,2011,4,-3.12083,-40.08694,489.4,157.6,23
ACARAU,CE,2011,5,-3.12083,-40.08694,113.0,20.8,15
ACARAU,CE,2011,6,-3.12083,-40.08694,72.0,32.6,11
ACARAU,CE,2011,7,-3.12083,-40.08694,50.2,13.4,9
ACARAU,CE,2011,8,-3.12083,-40.08694,19.6,11.0,3
ACARAU,CE,2011,9,-3.12083,-40.08694,2.4,0.8,0
ACARAU,CE,2011,10,-3.12083,-40.08694,1.6,1.0,1
ACARAU,CE,2011,11,-3.12083,-40.08694,0.8,0.2,0
ACARAU,CE,2011,12,-3.12083,-40.08694,3.2,2.8,1
ACARAU,CE,2012,1,-3.12083,-40.08694,51.6,47.4,3
