uf,regiao,bioma,mes,precipitacao_mm,precipitacao_max_24h_mm,dias_com_chuva,temperatura_media_c,umidade_relativa_pct,rajada_vento_max_kmh,altitude_m,declividade_media_pct,densidade_demografica_hab_km2,pct_area_urbana,indice_vegetacao_ndvi,tipo_desastre
RJ,Sudeste,Mata Atlantica,7,77.4,26.7,11,18.4,69.5,28.1,232.0,2.2,63.7,21.9,0.336,nenhum
MT,Centro-Oeste,Cerrado,6,122.8,41.3,8,21.1,68.5,49.0,102.0,14.6,113.7,28.6,0.347,nenhum
SC,Sul,Mata Atlantica,1,238.5,70.3,21,22.8,91.2,41.8,110.0,11.2,28.1,19.4,0.677,nenhum
ES,Sudeste,Mata Atlantica,2,228.8,50.9,15,24.6,74.5,84.0,1492.0,14.9,40.9,18.5,0.648,tempestade
RR,Norte,Amazonia,8,50.0,9.0,0,25.7,78.3,22.7,166.0,6.0,8.6,19.5,0.418,estiagem_seca
RS,Sul,Mata Atlantica,7,124.6,41.9,7,12.1,75.1,52.4,40.0,18.8,7.2,13.6,0.548,nenhum
ES,Sudeste,Mata Atlantica,7,71.4,20.1,4,22.6,97.2,25.0,776.0,18.6,3.9,11.5,0.285,nenhum
ES,Sudeste,Mata Atlantica,2,235.0,69.3,16,21.5,95.0,32.4,705.0,15.1,85.3,23.1,0.561,nenhum
TO,Norte,Amazonia,7,99.5,40.5,8,23.6,88.6,19.2,31.0,0.9,30.8,19.0,0.207,nenhum
MS,Centro-Oeste,Cerrado,1,158.8,59.2,12,27.0,77.2,33.0,1233.0,4.1,8.5,14.3,0.537,nenhum
BA,Nordeste,Caatinga,2,50.2,12.0,7,30.6,71.1,20.9,247.0,11.5,27.7,16.5,0.267,incendio_florestal
RS,Sul,Mata Atlantica,6,55.8,27.7,6,17.4,79.2,92.3,89.0,12.4,10.1,20.2,0.459,tempestade
RJ,Sudeste,Mata Atlantica,8,97.9,39.6,8,18.5,76.9,40.5,559.0,22.4,65.0,20.0,0.361,nenhum
ES,Sudeste,Mata Atlantica,8,61.6,19.8,4,16.9,80.4,43.8,1059.0,14.3,217.0,27.0,0.287,nenhum
MS,Centro-Oeste,Cerrado,12,342.4,129.3,24,24.1,85.4,34.8,202.0,3.2,361.8,19.2,0.623,inundacao
MA,Nordeste,Cerrado,11,29.0,13.2,1,29.0,66.2,76.6,103.0,5.8,39.2,19.9,0.279,estiagem_seca
MG,Sudeste,Mata Atlantica,5,107.2,46.8,12,20.7,83.4,55.2,821.0,3.3,37.9,20.3,0.507,nenhum
AM,Norte,Amazonia,10,152.9,65.3,10,24.3,87.8,44.2,167.0,11.9,3.3,12.1,0.371,nenhum
ES,Sudeste,Mata Atlantica,2,262.5,85.3,18,22.9,82.0,32.1,1482.0,19.8,5.5,11.2,0.775,deslizamento
MG,Sudeste,Mata Atlantica,11,432.0,97.1,24,19.6,86.0,72.7,116.0,7.8,366.2,28.3,0.508,inundacao
ES,Sudeste,Mata Atlantica,5,123.8,54.7,8,21.3,75.1,41.6,30.0,14.8,64.1,15.3,0.436,nenhum
RN,Nordeste,Caatinga,10,55.5,13.6,3,28.1,73.3,40.2,536.0,12.1,266.5,21.2,0.24,incendio_florestal
