codigo_ibge,municipio,uf,regiao,ano,mes,grupo_desastre,reconhecido,mortos,afetados,prejuizo,setores
4215406,Salto Veloso,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4313102,Nova Palma,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4304952,Caseiros,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4208609,Jaborá,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4207650,Iporã do Oeste,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4210902,Modelo,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4211405,Nova Erechim,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4215208,Romelândia,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
1200401,Rio Branco,AC,Norte,1991,1,ENXURRADA,False,0,0,0.0,
4316204,Rondinha,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4203105,Caibi,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4216701,São José do Cedro,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4217303,Saudades,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4304903,Casca,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4318606,São José do Ouro,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4204400,Coronel Freitas,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4204905,Descanso,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4212106,Palmitos,SC,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4308052,Faxinalzinho,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4308508,Frederico Westphalen,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4311155,Jóia,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4311700,Machadinho,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4321857,Três Palmeiras,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4317707,Santo Antônio das Missões,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4312302,Miraguaí,RS,Sul,1991,1,ESTIAGEM_SECA,False,0,0,0.0,
4216909,São Lourenço do Oeste,SC,Sul,1991,1,VENDAVAL_CICLONE,False,0,500,0.0,
3305802,Teresópolis,RJ,Sudeste,1991,1,ENXURRADA,False,0,0,0.0,
4300455,Alegria,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4310702,Itatiba do Sul,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4322202,Tupanciretã,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
3201209,Cachoeiro de Itapemirim,ES,Sudeste,1991,2,INUNDACAO,False,0,0,0.0,
4301206,Arroio do Tigre,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4318101,São Francisco de Assis,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4320107,Sarandi,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4207700,Ipumirim,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4214201,Quilombo,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4217550,Serra Alta,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4200051,Abdon Batista,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4200101,Abelardo Luz,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4204004,Catanduvas,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4204558,Correia Pinto,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4205001,Dionísio Cerqueira,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4205308,Faxinal dos Guedes,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4206603,Guarujá do Sul,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4207759,Iraceminha,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4209003,Joaçaba,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4209300,Lages,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4212007,Palma Sola,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4212601,Peritiba,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4212908,Pinhalzinho,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4213302,Ponte Alta,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4216909,São Lourenço do Oeste,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4218251,Timbó Grande,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4218509,Treze Tílias,SC,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4304101,Campos Borges,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4313805,Palmitinho,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4314605,Piratini,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4125902,São Pedro do Paraná,PR,Sul,1991,2,ENXURRADA,False,0,75,0.0,
4300638,Amaral Ferrador,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4303707,Campina das Missões,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4314209,Pedro Osório,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4317509,Santo Ângelo,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4318051,São Domingos do Sul,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4321006,Tapera,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4321808,Três de Maio,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
5107859,São Félix do Araguaia,MT,Centro-Oeste,1991,2,ENXURRADA,False,0,58,0.0,
5108402,Várzea Grande,MT,Centro-Oeste,1991,2,ENXURRADA,False,0,320,0.0,
4301503,Augusto Pestana,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4305009,Catuípe,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4310850,Jaboticaba,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4304507,Canguçu,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4306932,Entre-Ijuís,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4312708,Nonoai,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4317202,Santa Rosa,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4317400,Santiago,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4300307,Alecrim,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4307807,Estrela,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4315008,Porto Lucena,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4315909,Rodeio Bonito,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4321329,Taquaruçu do Sul,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4322301,Tuparendi,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4323507,Vista Alegre,RS,Sul,1991,2,ESTIAGEM_SECA,False,0,0,0.0,
4301800,Barracão,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4302006,Barros Cassal,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4303301,Caibaté,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4304309,Cândido Godói,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4305207,Cerro Largo,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4305900,Coronel Bicaco,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4307054,Ernestina,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4307302,Erval Seco,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4308805,General Câmara,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4309001,Giruá,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4309506,Guarani das Missões,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4309803,Ibiaçá,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4310405,Independência,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4311601,Liberato Salzano,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4314456,Pinhal,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4314555,Pirapó,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4316303,Roque Gonzales,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4316600,Sananduva,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4317905,Santo Cristo,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4320404,Serafina Corrêa,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4321956,Trindade do Sul,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4203600,Campos Novos,SC,Sul,1991,3,VENDAVAL_CICLONE,False,0,0,0.0,
4321402,Tenente Portela,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4301651,Barão,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4304705,Carazinho,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4306957,Entre Rios do Sul,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4309605,Horizontina,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4314308,Pejuçara,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4315404,Redentora,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4316451,Salto do Jacuí,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4318424,São João da Urtiga,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4319208,São Nicolau,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4320206,Seberi,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4320701,Sobradinho,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4305157,Cerro Grande,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4305405,Chiapetta,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4305504,Ciríaco,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4310009,Ibirubá,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4311908,Marcelino Ramos,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4318440,São Jorge,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4319158,São Miguel das Missões,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4201604,Arroio Trinta,SC,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4302204,Boa Vista do Buricá,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4302600,Braga,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4303202,Cacique Doble,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4303400,Caiçara,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4303905,Campo Bom,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
4305306,Chapada,RS,Sul,1991,3,ESTIAGEM_SECA,False,0,0,0.0,
