codigo_estacao,estacao,uf,ano,mes,latitude,longitude,altitude,temperatura_media_c,temperatura_max_c,temperatura_min_c,horas_medidas
A001,BRASILIA,DF,2021,1,-15.78944444,-47.92583332,1161.0,22.27,27.53,17.72,744
A001,BRASILIA,DF,2021,2,-15.78944444,-47.92583332,1161.0,20.86,25.6,18.01,672
A001,BRASILIA,DF,2021,3,-15.78944444,-47.92583332,1161.0,21.71,26.96,17.37,744
A001,BRASILIA,DF,2021,4,-15.78944444,-47.92583332,1161.0,20.72,25.68,16.61,720
A001,BRASILIA,DF,2021,5,-15.78944444,-47.92583332,1161.0,19.94,25.53,14.69,744
A001,BRASILIA,DF,2021,6,-15.78944444,-47.92583332,1161.0,19.32,25.2,13.86,720
A001,BRASILIA,DF,2021,7,-15.78944444,-47.92583332,1161.0,18.42,24.98,11.75,744
A001,BRASILIA,DF,2021,8,-15.78944444,-47.92583332,1161.0,20.93,26.69,15.03,743
A001,BRASILIA,DF,2021,9,-15.78944444,-47.92583332,1161.0,24.85,31.08,18.65,720
A001,BRASILIA,DF,2021,10,-15.78944444,-47.92583332,1161.0,23.16,28.72,18.97,744
A001,BRASILIA,DF,2021,11,-15.78944444,-47.92583332,1161.0,21.3,25.82,18.18,720
A001,BRASILIA,DF,2021,12,-15.78944444,-47.92583332,1161.0,21.19,25.83,18.23,744
A001,BRASILIA,DF,2022,1,-15.78944444,-47.92583332,1161.0,21.46,26.07,17.65,744
A001,BRASILIA,DF,2022,2,-15.78944444,-47.92583332,1161.0,21.32,26.21,18.05,672
A001,BRASILIA,DF,2022,3,-15.78944444,-47.92583332,1161.0,22.15,27.39,17.8,744
A001,BRASILIA,DF,2022,4,-15.78944444,-47.92583332,1161.0,22.33,27.79,17.72,720
A001,BRASILIA,DF,2022,5,-15.78944444,-47.92583332,1161.0,19.59,25.7,14.02,744
A001,BRASILIA,DF,2022,6,-15.78944444,-47.92583332,1161.0,19.54,25.88,13.38,720
A001,BRASILIA,DF,2022,7,-15.78944444,-47.92583332,1161.0,19.38,25.47,13.41,744
A001,BRASILIA,DF,2022,8,-15.78944444,-47.92583332,1161.0,21.15,27.35,15.05,744
A001,BRASILIA,DF,2022,9,-15.78944444,-47.92583332,1161.0,22.91,28.81,17.08,720
A001,BRASILIA,DF,2022,10,-15.78944444,-47.92583332,1161.0,23.68,29.17,18.86,744
A001,BRASILIA,DF,2022,11,-15.78944444,-47.92583332,1161.0,20.66,26.02,16.96,720
A001,BRASILIA,DF,2022,12,-15.78944444,-47.92583332,1161.0,20.82,25.07,17.91,744
A001,BRASILIA,DF,2023,1,-15.78944444,-47.92583332,1161.0,21.03,25.94,17.72,744
A001,BRASILIA,DF,2023,2,-15.78944444,-47.92583332,1161.0,22.74,28.02,18.1,672
A001,BRASILIA,DF,2023,3,-15.78944444,-47.92583332,1161.0,21.55,26.66,17.49,744
A001,BRASILIA,DF,2023,4,-15.78944444,-47.92583332,1161.0,21.03,26.17,17.51,720
