codigo_estacao,estacao,uf,mes,latitude,longitude,u,v,velocidade_ms,direcao_graus,constancia,anos,horas_medidas
A001,BRASILIA,DF,1,-15.78944444,-47.92583332,-0.07,-0.877,2.138,4.591,0.412,6,4461
A001,BRASILIA,DF,2,-15.78944444,-47.92583332,-0.357,-0.66,2.099,28.403,0.357,6,4054
A001,BRASILIA,DF,3,-15.78944444,-47.92583332,-0.904,-0.222,1.908,76.191,0.488,6,4459
A001,BRASILIA,DF,4,-15.78944444,-47.92583332,-1.247,0.106,1.972,94.837,0.635,6,4319
A001,BRASILIA,DF,5,-15.78944444,-47.92583332,-1.559,0.341,2.075,102.344,0.769,6,4458
A001,BRASILIA,DF,6,-15.78944444,-47.92583332,-1.548,0.355,2.05,102.935,0.774,6,4313
A001,BRASILIA,DF,7,-15.78944444,-47.92583332,-1.721,0.324,2.173,100.658,0.806,6,4460
A001,BRASILIA,DF,8,-15.78944444,-47.92583332,-1.74,0.203,2.4,96.652,0.73,6,4450
A001,BRASILIA,DF,9,-15.78944444,-47.92583332,-1.596,-0.12,2.387,85.688,0.67,5,3599
A001,BRASILIA,DF,10,-15.78944444,-47.92583332,-0.97,-0.208,2.249,77.918,0.441,5,3714
A001,BRASILIA,DF,11,-15.78944444,-47.92583332,-0.287,-0.546,2.1,27.702,0.294,5,3600
A001,BRASILIA,DF,12,-15.78944444,-47.92583332,0.097,-0.922,2.029,353.97,0.457,5,3712
A002,GOIANIA,GO,1,-16.642841,-49.220222,0.036,-0.22,0.824,350.701,0.27,5,3688
A002,GOIANIA,GO,2,-16.642841,-49.220222,-0.092,-0.151,0.875,31.244,0.202,5,3258
A002,GOIANIA,GO,3,-16.642841,-49.220222,-0.257,-0.027,0.778,83.928,0.333,6,4464
A002,GOIANIA,GO,4,-16.642841,-49.220222,-0.399,0.084,0.812,101.881,0.502,6,4320
A002,GOIANIA,GO,5,-16.642841,-49.220222,-0.521,0.216,0.893,112.472,0.632,6,4429
A002,GOIANIA,GO,6,-16.642841,-49.220222,-0.506,0.216,0.878,113.159,0.626,6,4232
A002,GOIANIA,GO,7,-16.642841,-49.220222,-0.564,0.179,0.944,107.609,0.627,6,4371
A002,GOIANIA,GO,8,-16.642841,-49.220222,-0.532,0.25,1.125,115.193,0.523,6,4194
A002,GOIANIA,GO,9,-16.642841,-49.220222,-0.403,0.133,1.082,108.332,0.392,4,2820
A002,GOIANIA,GO,10,-16.642841,-49.220222,-0.178,-0.026,0.993,81.598,0.181,4,2841
A002,GOIANIA,GO,11,-16.642841,-49.220222,0.002,-0.115,0.897,359.112,0.129,4,2880
A002,GOIANIA,GO,12,-16.642841,-49.220222,0.121,-0.288,0.834,337.128,0.375,5,3636
A003,MORRINHOS,GO,1,-17.745066,-49.101698,0.298,-0.665,1.624,335.844,0.449,6,4461
A003,MORRINHOS,GO,2,-17.745066,-49.101698,0.077,-0.496,1.551,351.204,0.323,6,4004
A003,MORRINHOS,GO,3,-17.745066,-49.101698,-0.266,-0.301,1.403,41.482,0.286,6,4463
A003,MORRINHOS,GO,4,-17.745066,-49.101698,-0.378,-0.039,1.199,84.176,0.317,5,3599
A003,MORRINHOS,GO,5,-17.745066,-49.101698,-0.458,0.01,1.156,91.231,0.396,5,3720
A003,MORRINHOS,GO,6,-17.745066,-49.101698,-0.571,-0.023,1.203,87.686,0.475,5,3600
